unique_id,ds,Chronos,Moirai,TimesFM-2.5
hotel_0,2023-07-01,0.7972443,0.7874943,0.89226514
hotel_0,2023-07-02,0.6721218,0.7637189,0.65213794
hotel_0,2023-07-03,0.64218235,0.72976756,0.6773287
hotel_0,2023-07-04,0.6847839,0.7377179,0.7289913
hotel_0,2023-07-05,0.74063826,0.7284261,0.74802554
hotel_0,2023-07-06,0.7949665,0.7501481,0.77713615
hotel_0,2023-07-07,0.8421245,0.8000344,0.9025446
hotel_0,2023-07-08,0.8633701,0.7495845,0.9214023
hotel_0,2023-07-09,0.76423,0.7622481,0.6967824
hotel_0,2023-07-10,0.75845116,0.71172196,0.7219628
hotel_0,2023-07-11,0.80168784,0.71442807,0.76652586
hotel_0,2023-07-12,0.82422805,0.75626415,0.7714241
hotel_0,2023-07-13,0.8325571,0.75169057,0.78775346
hotel_0,2023-07-14,0.8477006,0.78147167,0.9190584
hotel_0,2023-07-15,0.83010846,0.80457103,0.937951
hotel_0,2023-07-16,0.6833908,0.7804238,0.7034305
hotel_0,2023-07-17,0.6432452,0.7478465,0.7340521
hotel_0,2023-07-18,0.67577225,0.7327457,0.7840117
hotel_0,2023-07-19,0.71786517,0.7464833,0.79387873
hotel_0,2023-07-20,0.76606053,0.7041392,0.8167228
hotel_0,2023-07-21,0.8050324,0.75946313,0.943944
hotel_0,2023-07-22,0.81365186,0.74504733,0.944404
hotel_0,2023-07-23,0.70255446,0.7440738,0.71574754
hotel_0,2023-07-24,0.6774711,0.72637695,0.75145996
hotel_0,2023-07-25,0.6961906,0.784654,0.79890835
hotel_0,2023-07-26,0.7238777,0.81522876,0.80290943
hotel_0,2023-07-27,0.7557322,0.7738032,0.83027273
hotel_0,2023-07-28,0.7967408,0.81632024,0.95920926
hotel_105,2023-07-01,0.99594474,1.0026375,1.024195
hotel_105,2023-07-02,0.9867053,0.9986921,0.97742593
hotel_105,2023-07-03,0.9882519,1.0011055,0.9951749
hotel_105,2023-07-04,1.0023888,0.99432117,1.0130405
hotel_105,2023-07-05,1.0148566,0.9986921,1.0095428
hotel_105,2023-07-06,1.0161811,0.99091464,0.9955226
hotel_105,2023-07-07,1.0105523,0.9943638,1.0138781
hotel_105,2023-07-08,1.0005636,0.99672014,1.0188851
hotel_105,2023-07-09,0.99169314,0.9938239,0.97603357
hotel_105,2023-07-10,0.99570215,0.99043167,0.9960847
hotel_105,2023-07-11,1.0080059,0.9932854,1.0160414
hotel_105,2023-07-12,1.0196098,0.99198055,1.0132314
hotel_105,2023-07-13,1.018098,0.9876633,1.0016431
hotel_105,2023-07-14,1.0061991,0.9829612,1.0145836
hotel_105,2023-07-15,0.9885727,0.988788,1.0220331
hotel_105,2023-07-16,0.9784481,0.98597467,0.9794121
hotel_105,2023-07-17,0.98043644,0.98133266,0.99729407
hotel_105,2023-07-18,0.9942719,0.98623234,1.0155566
hotel_105,2023-07-19,1.0037708,0.99069643,1.0161988
hotel_105,2023-07-20,1.0007386,0.99370885,1.006909
hotel_105,2023-07-21,0.9943542,0.9876274,1.0205443
hotel_105,2023-07-22,0.9866264,0.9830724,1.023524
hotel_105,2023-07-23,0.97703314,0.9962322,0.978811
hotel_105,2023-07-24,0.97785753,0.97775996,0.99622035
hotel_105,2023-07-25,0.99394983,0.98965627,1.0161211
hotel_105,2023-07-26,1.007071,0.977072,1.0181763
hotel_105,2023-07-27,1.0034587,0.9795477,1.0042435
hotel_105,2023-07-28,0.99633735,0.9895512,1.0161656
hotel_112,2023-07-01,0.925869,0.96724194,0.90821445
hotel_112,2023-07-02,0.92373395,0.91203105,0.89111066
hotel_112,2023-07-03,0.92418116,0.9460382,0.91715217
hotel_112,2023-07-04,0.92789996,0.93723434,0.93202543
hotel_112,2023-07-05,0.92971176,0.91311324,0.9337913
hotel_112,2023-07-06,0.9302907,0.8979195,0.9273459
hotel_112,2023-07-07,0.9217622,0.9004345,0.90519214
hotel_112,2023-07-08,0.9165156,0.9016381,0.881233
hotel_112,2023-07-09,0.9180118,0.9144667,0.873101
hotel_112,2023-07-10,0.9270661,0.92368203,0.90500236
hotel_112,2023-07-11,0.9310225,0.93243945,0.91900444
hotel_112,2023-07-12,0.92895645,0.88074094,0.9259944
hotel_112,2023-07-13,0.9186208,0.9337397,0.9228294
hotel_112,2023-07-14,0.90565014,0.91640925,0.9071704
hotel_112,2023-07-15,0.89146894,0.95076734,0.88773596
hotel_112,2023-07-16,0.88461816,0.95511985,0.8805109
hotel_112,2023-07-17,0.8884051,0.89349276,0.9099976
