unique_id,ds,NBEATS,NHITS
hotel_0,2023-06-04,0.51513994,0.53807575
hotel_0,2023-06-05,0.467156,0.48313323
hotel_0,2023-06-06,0.50961494,0.5640368
hotel_0,2023-06-07,0.5716094,0.5816957
hotel_0,2023-06-08,0.6046479,0.5707975
hotel_0,2023-06-09,0.7046332,0.7242426
hotel_0,2023-06-10,0.8097515,0.85109305
hotel_0,2023-06-11,0.4487748,0.49207684
hotel_0,2023-06-12,0.48728815,0.43754122
hotel_0,2023-06-13,0.5431617,0.57353264
hotel_0,2023-06-14,0.594308,0.58208853
hotel_0,2023-06-15,0.6227313,0.6043582
hotel_0,2023-06-16,0.7528881,0.7634286
hotel_0,2023-06-17,0.8989746,0.8306837
hotel_0,2023-06-18,0.48152596,0.4881712
hotel_0,2023-06-19,0.46498516,0.4745241
hotel_0,2023-06-20,0.5711006,0.5973309
hotel_0,2023-06-21,0.60143304,0.60705715
hotel_0,2023-06-22,0.6238642,0.5953077
hotel_0,2023-06-23,0.77444935,0.7727262
hotel_0,2023-06-24,0.8563576,0.8475082
hotel_0,2023-06-25,0.4788025,0.5098878
hotel_0,2023-06-26,0.5065569,0.5037828
hotel_0,2023-06-27,0.6005975,0.5842184
hotel_0,2023-06-28,0.57772017,0.6258529
hotel_0,2023-06-29,0.6558952,0.6327304
hotel_0,2023-06-30,0.7512814,0.79748523
hotel_0,2023-07-01,0.81968653,0.8295665
hotel_105,2023-06-04,0.87246245,0.9025682
hotel_105,2023-06-05,0.9413327,0.93902516
hotel_105,2023-06-06,0.9952164,1.0102832
hotel_105,2023-06-07,0.9601054,0.9688568
hotel_105,2023-06-08,0.9231296,0.913908
hotel_105,2023-06-09,0.9831314,0.9849579
hotel_105,2023-06-10,0.9860908,1.0030087
hotel_105,2023-06-11,0.8543613,0.87415475
hotel_105,2023-06-12,0.9235746,0.9141339
hotel_105,2023-06-13,0.97512937,1.0276061
hotel_105,2023-06-14,0.9668832,0.9586731
